time_step,timestamp,robot_x,robot_y,orientation_rad,speed,packages_delivered,battery_level_percent,power_consumption_step,motor_currents,wheel_speeds,robot_temperature_C,fault_code,error_log,station_inventory,warehouse_temperature_C,warehouse_humidity_percent,obstacle_event,item_metadata,mission_queue_length,current_delivery_time_sec,lidar_data,camera_feed,imu_accel,imu_gyro,idle_time_step,throughput_packages_per_hour,energy_efficiency_m_per_wh
0,2025-02-26T23:45:23.757082,0.35099728780220163,1.0529918634066049,1.2490457723982544,1.1099508819965935,0,99.97889004911801,0.10554975440998296,"[1.746310185308617, 1.9491377037652455]","[1.02978523712306, 1.0927769725081298]",30.00068880324611,,,"{0: 4, 1: 12, 2: 3, 3: 11, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",21.986947709253645,47.93500856668191,False,"{'item_id': 'A001', 'weight': 1.2, 'size': 'small'}",10,0.0,"[0.6089886965032842, 2.2777540053624614, 0.17680594120581317, 0.03009863899205434, 9.926000924953692]",frame_0.jpg,"(0.06940988064173931, -0.040112181369414725, 9.8)","(-0.002454191146112703, -0.00820512841328476, 0.0)",0.0,0.0,10.515902080503691
1,2025-02-26T23:45:23.757082,0.5617120847324629,1.6851362541973889,1.2490457723982544,0.6663386949994821,0,99.95822371042301,0.1033316934749974,"[1.2122200506222656, 0.9621715354199748]","[0.7135977800695629, 0.6253412979246443]",30.021363502457145,,,"{0: 4, 1: 12, 2: 3, 3: 11, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",19.226515823874223,49.0472004397966,False,"{'item_id': 'A001', 'weight': 1.2, 'size': 'small'}",10,0.0,"[7.704780289231174, 8.07395431011897, 2.8016422863946344, 5.061315746004734, 3.4538471554669403]",frame_1.jpg,"(-0.09647455210930322, -0.02292153669600143, 9.8)","(-0.001101554526301016, 0.008424373595327531, 0.0)",0.0,0.0,8.503816853922716
2,2025-02-26T23:45:23.757082,0.9626211725412323,2.887863517623697,1.2490457723982544,1.2677858521361545,0,99.93695592457088,0.10633892926068077,"[1.9250135160851969, 1.4691052515936633]","[1.2761224704106704, 1.346537515300562]",30.041293496607867,,,"{0: 4, 1: 12, 2: 3, 3: 11, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",21.780385833229936,35.780965063651344,False,"{'item_id': 'A001', 'weight': 1.2, 'size': 'small'}",10,0.0,"[8.837262927704234, 5.192022707685435, 9.17982947145761, 7.449688441546808, 4.270269609479509]",frame_2.jpg,"(-0.014076896111413204, -0.029480162096058554, 9.8)","(-0.007521578451331259, 0.007715342340871225, 0.0)",0.0,0.0,9.656975404624887
3,2025-02-26T23:45:23.757082,1.3875841225909336,4.162752367772801,1.2490457723982544,1.3438508433414214,0,99.91561207372754,0.10671925421670711,"[2.3208890216885365, 2.6676547328601696]","[1.374386875824176, 1.4140925483713274]",30.068078424053883,,,"{0: 4, 1: 12, 2: 3, 3: 11, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",22.849748611978566,47.55683263737711,False,"{'item_id': 'A001', 'weight': 1.2, 'size': 'small'}",10,0.0,"[1.9174477548520674, 0.28717847836654986, 2.263170348455011, 9.338914915588868, 9.26673024863611]",frame_3.jpg,"(-0.09312043618848556, -0.016622745869965788, 9.8)","(-0.009987999426376912, -0.0038046733170449803, 0.0)",0.0,0.0,10.39941723015166
4,2025-02-26T23:45:23.757082,1.7294535082203484,5.188360524661046,1.2490457723982544,1.0810859208713874,0,99.89453098780668,0.10540542960435695,"[2.248783298252466, 1.0990689610927897]","[1.145899524775357, 1.075048095487033]",30.0736639130956,,,"{0: 4, 1: 12, 2: 3, 3: 11, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",22.36273580411858,30.09939586768263,False,"{'item_id': 'A001', 'weight': 1.2, 'size': 'small'}",10,0.0,"[2.2893012366998713, 7.012987822520859, 2.8065306183078356, 1.7626337348770182, 0.2793772212990131]",frame_4.jpg,"(-0.01717292303561571, -0.02392806407429049, 9.8)","(-0.009789404955968861, -0.006943318004345616, 0.0)",0.0,0.0,10.370841784920268
5,2025-02-26T23:45:23.757082,2.0,6.0,1.2490457723982542,1.2832712645521518,0,99.87324771654212,0.10641635632276075,"[2.2323797312078537, 2.095615152946081]","[1.2893994397689024, 1.2793298721982052]",30.083791684654514,,,"{0: 4, 1: 12, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",18.228635172931178,49.87260789047265,False,"{'item_id': 'A001', 'weight': 1.2, 'size': 'small'}",10,0.0,"[9.517614130906079, 2.232609826209199, 1.8370284721064423, 3.2235504240536716, 9.30440636105455]",frame_5.jpg,"(-0.067768121951389, 0.08684405803560016, 9.8)","(-0.0011328364354028005, 0.008506748813726364, 0.0)",0.0,0.0,9.979394686704108
6,2025-02-26T23:45:23.757082,2.3555269861979675,5.288946027604065,-1.1071487177940904,0.7949825089742848,0,99.85245273403315,0.10397491254487143,"[1.2212902754891062, 1.2290383688212758]","[0.8882209394161231, 0.8133301867579987]",30.112063504216554,,,"{0: 4, 1: 12, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",21.95625298872636,55.757487978515925,False,"{'item_id': 'A001', 'weight': 1.2, 'size': 'small'}",10,0.0,"[6.4322273392653875, 9.555863956241502, 0.29316977168481584, 1.4545946310919955, 9.751170266677171]",frame_6.jpg,"(-0.09979038819539739, 0.05973267476973926, 9.8)","(0.009626895751379835, -0.004342105778326401, 0.0)",0.0,0.0,9.650518134181603
7,2025-02-26T23:45:23.757082,2.912452582675866,4.175094834648268,-1.1071487177940904,1.2453234921341982,0,99.83120741054101,0.106226617460671,"[2.2994659690419845, 1.265576083691486]","[1.2214155022425157, 1.1461212629784356]",30.127041648404077,,,"{0: 4, 1: 12, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",21.900927679841388,42.429986632480755,False,"{'item_id': 'A001', 'weight': 1.2, 'size': 'small'}",10,0.0,"[7.3552117126635554, 7.242862331169904, 5.158480490838566, 6.0546248010121975, 9.680515838150448]",frame_7.jpg,"(0.07670501462165266, 0.020553702487779796, 9.8)","(-0.0038797043842199487, 0.007635687277457287, 0.0)",0.0,0.0,9.911408253472883
8,2025-02-26T23:45:23.757082,3.2148296764088236,3.570340647182353,-1.1071487177940904,0.6761357364257192,0,99.81053127480459,0.10338067868212861,"[0.9910662886830286, 0.9828525943441989]","[0.6022185081127297, 0.6100223741512608]",30.127335507681842,,,"{0: 4, 1: 12, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",22.04789208330827,38.37885613842144,False,"{'item_id': 'A001', 'weight': 1.2, 'size': 'small'}",10,0.0,"[4.2820179088606825, 3.4450009546025893, 6.860549419836336, 0.6165124102000974, 5.0282579703104435]",frame_8.jpg,"(0.026968307454805773, 0.044705134559415216, 9.8)","(-0.0058707160511088, 0.0004728688039176195, 0.0)",0.0,0.0,9.543524450851127
9,2025-02-26T23:45:23.757082,3.8146751534561822,2.3706496930876355,-1.1071487177940904,1.3412952626736838,0,99.78918997954192,0.10670647631336842,"[2.1928035124596184, 1.5806131786577897]","[1.3237169961108464, 1.3511301668557572]",30.15589925602879,,,"{0: 4, 1: 12, 2: 3, 3: 10, 4: 4, 5: 11, 6: 10, 7: 10, 8: 12, 9: 12, 10: 11, 11: 8}",15.61839420345159,43.75421393176552,False,"{'item_id': 'A001', 'weight': 1.2, 'size': 'small'}",10,0.0,"[4.9807500897070085, 3.2814883933217507, 9.645195264875863, 4.579013850197706, 3.974526826366227]",frame_9.jpg,"(-0.03986465964398729, 0.0765504319597266, 9.8)","(-0.00437306521130773, -0.009229130198922953, 0.0)",0.0,0.0,9.84990400170086
